product_name,brand,category,rating,price
LA' Facon Cotton Kalamkari Handblock Saree Blouse Fabric 100 cms Black Base Dancers (Cotton),LA' Facon,"{'ClothingAccessories': '#19,259', 'WomensKurtasKurtis': '#1793'}",5.0,200.0
Sf Jeans By Pantaloons Men's Plain Slim fit T-Shirt,Unknown,"{'ClothingAccessories': '#1,59,062', 'MensT_Shirts': '#12151'}",3.6,265.0
"LOVISTA Cotton Gota Patti Tassel Traditional Printed Kurti with Pant,Angrakha Salwar Suit",LOVISTA,"{'ClothingAccessories': '#1,050', 'WomensKurtasKurtis': '#91'}",3.5,660.0
People Men's Printed Regular fit T-Shirt,Unknown,"{'ClothingAccessories': '#2,47,234', 'MensT_Shirts': '#19368'}",3.0,195.0
Monte Carlo Grey Solid Cotton Blend Polo Collar Tracksuit,Unknown,"{'ClothingAccessories': '#13,980', 'MensTracksuits': '#12'}",5.0,1914.0
Forest Club | Gym Wear | Sports Shorts| Shorts for Men | Smooth Breathable Fabric | Shorts with Pocket Zippers | All TIME WEAR |,Forest Club,"{'ClothingAccessories': '#4,399', 'MensShorts': '#30'}",4.1,350.0
PrintOctopus Graphic Printed T-Shirt for Men Chill T-Shirt | Hindi Quote T-Shirt | Half Sleeve T-Shirt for Women | Round Neck T Shirt | 100% Cotton T-Shirt | Short Sleeve T Shirt,PrintOctopus,"{'ClothingAccessories': '#14,838', 'MensT_Shirts': '#817'}",3.7,288.0
Pepe Jeans Men's Solid Regular fit Casual Shirt,Unknown,"{'ClothingAccessories': '#7,97,407', 'MensCasualShirts': '#43603'}",2.9,919.0
Peppermint Synthetic Dress,Peppermint,"{'ClothingAccessories': '#1,36,237', 'GirlsDressesJumpsuits': '#1820'}",5.0,619.0
Puma Unisex Tribal Regular Fit T-Shirt,Unknown,"{'ClothingAccessories': '#86,191', 'GirlsT_Shirts': '#754'}",3.8,289.0
"OLLI Men's Orange, Lex Purple, White Cotton Brief Innerwear (Pack of 3)",OLLI,"{'ClothingAccessories': '#15,33,470', 'MensUnderwearBriefs': '#8403'}",5.0,499.0
Pinkmint Women's Multi-Coloured Digital Print Crepe Kurti,Unknown,"{'ClothingAccessories': '#2,16,126', 'WomensKurtasKurtis': '#15850'}",3.7,329.0
Miss Chase Women's Solid Shoulder Cut-Out Half-Sleeve Round Neck Mini Dresses,Miss Chase,"{'ClothingAccessories': '#80,144', 'WomensDresses': '#1768'}",3.7,669.0
bebe Women Genuine Leather Slim Belt,bebe,"{'ClothingAccessories': '#8,43,899', 'WomensClothing': '#401014'}",4.0,760.0
Colt by Unlimited Men's T-Shirt,Colt by Unlimited,"{'ClothingAccessories': '#2,15,633', 'MensT_Shirts': '#16576'}",4.5,210.0
Pepe Jeans Women's Solid T-Shirt,Unknown,"{'ClothingAccessories': '#2,47,588', 'WomensT_Shirts': '#4147'}",3.3,483.0
C9 Women Turquoise Active T-Shirt,C9,"{'ClothingAccessories': '#7,92,502', 'WomensT_Shirts': '#15483'}",5.0,599.0
PuJoy Women's Soft Cotton Traditional Bengali Handloom Jharna Design Tant Saree with Blouse Piece …,PuJoy,"{'ClothingAccessories': '#4,143', 'WomensSarees': '#289'}",3.5,420.0
Winza Designer Chiffon Saree with Blouse Piece,Winza Designer,"{'ClothingAccessories': '#1,67,860', 'WomensSarees': '#9452'}",4.1,522.0
kalpit creations Men's Comfort Soft Cotton Black Plain Polo Collar Half Sleeve T-Shirt with Solid Color,kalpit creations,"{'ClothingAccessories': '#13,757', 'MensPolos': '#215'}",3.2,249.0
